file,writer_id,split,page
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\015-P17.wptt,15,Train,015-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\015-P18.wptt,15,Train,015-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\015-P19.wptt,15,Train,015-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\015-P20.wptt,15,Train,015-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\015-P16.wptt,15,Test,015-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\001-P16.wptt,1,Train,001-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\001-P17.wptt,1,Train,001-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\001-P18.wptt,1,Test,001-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\001-P19.wptt,1,Train,001-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\001-P20.wptt,1,Train,001-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\016-P17.wptt,16,Test,016-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\016-P16.wptt,16,Train,016-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\016-P18.wptt,16,Train,016-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\016-P19.wptt,16,Train,016-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\016-P20.wptt,16,Train,016-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\002-P16.wptt,2,Train,002-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\002-P17.wptt,2,Train,002-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\002-P18.wptt,2,Train,002-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\002-P19.wptt,2,Test,002-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\002-P20.wptt,2,Train,002-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\018-P20.wptt,18,Train,018-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\018-P16.wptt,18,Train,018-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\018-P17.wptt,18,Test,018-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\018-P18.wptt,18,Train,018-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\018-P19.wptt,18,Train,018-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\019-P16.wptt,19,Train,019-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\019-P17.wptt,19,Train,019-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\019-P18.wptt,19,Test,019-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\019-P19.wptt,19,Train,019-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\019-P20.wptt,19,Train,019-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\003-P16.wptt,3,Train,003-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\003-P17.wptt,3,Test,003-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\003-P18.wptt,3,Train,003-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\003-P19.wptt,3,Train,003-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\003-P20.wptt,3,Train,003-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\021-P16.wptt,21,Train,021-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\021-P17.wptt,21,Train,021-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\021-P18.wptt,21,Test,021-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\021-P19.wptt,21,Train,021-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\021-P20.wptt,21,Train,021-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\004-P16.wptt,4,Test,004-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\004-P17.wptt,4,Train,004-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\004-P18.wptt,4,Train,004-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\004-P19.wptt,4,Train,004-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\004-P20.wptt,4,Train,004-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\022-P16.wptt,22,Test,022-P16
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\022-P17.wptt,22,Train,022-P17
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\022-P18.wptt,22,Train,022-P18
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\022-P19.wptt,22,Train,022-P19
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\022-P20.wptt,22,Train,022-P20
F:\PycharmProjects\DeepWriterID-v2\\data\raw\WPTT2.0-Train\005-P16.wptt,5,Train,005-P16
